City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaqortoq,60.7167,-46.0333,0.81,98,100,6.34,GL,1698735393
1,thompson,55.7435,-97.8558,-6.91,73,100,4.12,CA,1698735377
2,adamstown,-25.066,-130.1015,22.74,77,100,3.87,PN,1698735302
3,morondava,-20.2833,44.2833,27.52,61,5,4.04,MG,1698735844
4,san sebastian de la gomera,28.0916,-17.1133,24.2,88,75,4.12,ES,1698735845
5,bilibino,68.0546,166.4372,-17.63,81,14,1.87,RU,1698735381
6,malango,-2.9627,119.9001,30.32,44,83,2.78,ID,1698735434
7,bundaberg north,-24.8551,152.3425,24.56,70,0,3.13,AU,1698735845
8,utrik,11.2278,169.8474,28.05,78,100,7.84,MH,1698735417
9,tingi,-11.3,35.0333,25.51,45,30,4.38,TZ,1698735845
10,albany,42.6001,-73.9662,4.8,86,12,1.34,US,1698735369
11,praya,14.9215,-23.5087,25.3,78,0,3.6,CV,1698735845
12,happy valley-goose bay,53.3168,-60.3315,-4.83,74,20,4.63,CA,1698735375
13,rio grande,-32.035,-52.0986,18.86,94,16,6.3,BR,1698735846
14,kovalam,8.3667,76.9967,32.05,70,40,1.54,IN,1698735846
15,santa cruz,-17.8,-63.1667,25.7,78,75,2.57,BO,1698735846
16,port elizabeth,-33.918,25.5701,17.95,69,0,6.17,ZA,1698735370
17,chinhoyi,-17.3667,30.2,20.81,63,100,6.63,ZW,1698735703
18,fort bragg,35.139,-79.006,18.08,69,0,4.63,US,1698735410
19,labrador city,52.9463,-66.9114,-8.05,79,100,3.09,CA,1698735386
20,touros,-5.1989,-35.4608,25.18,73,100,5.34,BR,1698735390
21,port-aux-francais,-49.35,70.2167,4.08,88,99,17.31,TF,1698735368
22,ilulissat,69.2167,-51.1,4.01,45,34,9.77,GL,1698735370
23,aasiaat,68.7098,-52.8699,-3.29,72,85,7.54,GL,1698735390
24,lihue,21.9789,-159.3672,25.77,76,75,3.6,US,1698735205
25,anadyr,64.75,177.4833,0.28,100,40,6.0,RU,1698735389
26,nova sintra,14.8667,-24.7167,23.42,68,48,1.68,CV,1698735400
27,yellowknife,62.456,-114.3525,-4.77,99,40,3.6,CA,1698735375
28,sitka,57.0531,-135.33,7.94,87,100,1.54,US,1698735377
29,vikulovo,56.8167,70.6107,-6.47,84,14,3.22,RU,1698735847
30,puerto natales,-51.7236,-72.4875,-2.29,91,11,1.47,CL,1698735370
31,puerto san jose,13.9256,-90.8244,24.74,89,100,2.87,GT,1698735382
32,tsiombe,-25.3,45.4833,22.69,73,100,5.59,MG,1698735417
33,port-gentil,-0.7193,8.7815,26.98,89,75,3.6,GA,1698735848
34,isafjordur,66.0755,-23.124,1.44,73,39,1.69,IS,1698735378
35,waitangi,-43.9535,-176.5597,13.23,90,100,6.26,NZ,1698735370
36,benjamin hill,30.1667,-111.1,15.29,35,0,3.52,MX,1698735848
37,cambridge,43.3601,-80.3127,1.6,90,100,2.57,CA,1698735849
38,araripina,-7.5761,-40.4983,21.07,44,99,3.15,BR,1698735849
39,cabo san lucas,22.8909,-109.9124,25.98,82,45,2.27,MX,1698735254
40,port mathurin,-19.6833,63.4167,25.04,80,0,7.96,MU,1698735373
41,olonkinbyen,70.9221,-8.7187,2.08,72,100,4.05,SJ,1698735371
42,port lincoln,-34.7333,135.8667,14.67,56,0,6.62,AU,1698735401
43,ati,13.2154,18.3353,30.86,17,98,5.31,TD,1698735849
44,lorengau,-2.0226,147.2712,27.43,79,96,2.75,PG,1698735382
45,ambovombe,-25.1667,46.0833,21.02,84,100,6.12,MG,1698735849
46,edinburgh of the seven seas,-37.0676,-12.3116,14.32,94,96,10.54,SH,1698735377
47,copala,16.65,-98.9833,25.13,88,31,1.14,MX,1698735850
48,blackmans bay,-43.0167,147.3167,13.74,57,98,0.89,AU,1698735375
49,kudahuvadhoo,2.6708,72.8944,28.03,72,29,2.48,MV,1698735404
50,bredasdorp,-34.5322,20.0403,18.02,61,14,6.46,ZA,1698735384
51,abepura,-2.6333,140.5833,31.45,48,20,1.03,ID,1698735850
52,ertil',51.8406,40.8056,11.86,78,100,4.44,RU,1698735850
53,grytviken,-54.2811,-36.5092,1.93,87,10,2.75,GS,1698735373
54,subaykhan,34.8544,40.6083,27.41,29,37,2.17,SY,1698735851
55,lashkar gah,31.5938,64.3716,27.81,16,7,0.61,AF,1698735851
56,tazovsky,67.4667,78.7,-14.65,94,45,2.59,RU,1698735442
57,capitao poco,-1.7464,-47.0594,21.88,98,13,1.37,BR,1698735787
58,vadso,70.0744,29.7487,1.49,86,40,3.09,NO,1698735401
59,old town,50.087,14.4202,13.89,93,0,9.26,CZ,1698735852
60,aroma,15.8167,36.1333,30.27,52,6,3.52,SD,1698735852
61,minggang,32.4586,114.0486,28.32,30,9,5.75,CN,1698735852
62,fale old settlement,-9.3852,-171.2468,29.09,77,100,8.13,TK,1698735432
63,kittila,67.6647,24.8936,-6.92,86,100,2.57,FI,1698735420
64,alice springs,-23.7,133.8833,33.75,10,6,7.2,AU,1698735391
65,jamestown,42.097,-79.2353,4.77,75,100,0.0,US,1698735270
66,papatowai,-46.5619,169.4708,11.89,88,97,0.98,NZ,1698735374
67,macau,22.2006,113.5461,31.03,65,20,2.06,MO,1698735853
68,puerto baquerizo moreno,-0.9,-89.6,22.77,82,100,4.06,EC,1698735762
69,badger,64.8,-147.5333,-0.86,86,75,0.0,US,1698735396
70,kayangel,8.0823,134.7173,28.7,73,15,2.04,PW,1698735853
71,al ghayzah,16.2079,52.176,27.89,60,88,3.69,YE,1698735402
72,tiksi,71.6872,128.8694,-18.76,99,100,1.31,RU,1698735372
73,vilyuchinsk,52.9306,158.4028,4.96,74,10,2.68,RU,1698735418
74,cill airne,52.05,-9.5167,7.75,93,37,1.61,IE,1698735854
75,xining,36.6167,101.7667,14.58,20,0,0.89,CN,1698735854
76,vila franca do campo,37.7167,-25.4333,19.38,99,48,4.97,PT,1698735381
77,walvis bay,-22.9575,14.5053,17.43,71,0,0.71,NA,1698735394
78,longyearbyen,78.2186,15.6401,-1.09,69,75,5.66,SJ,1698735372
79,hithadhoo,-0.6,73.0833,27.02,80,29,4.2,MV,1698735403
80,montes claros,-16.735,-43.8617,24.67,63,100,3.14,BR,1698735848
81,iqaluit,63.7506,-68.5145,-11.15,78,100,11.83,CA,1698735391
82,hadibu,12.65,54.0333,27.57,69,100,4.16,YE,1698735383
